Rank,County,Population
1,Polk,"467,711"
2,Linn,"219,916"
3,Scott,"172,126"
4,Johnson,"144,251"
5,Black Hawk,"133,455"
6,Woodbury,"102,782"
7,Dubuque,"97,125"
8,Story,"96,021"
9,Pottawattamie,"93,671"
10,Dallas,"80,133"
11,Warren,"48,626"
12,Clinton,"47,768"
13,Cerro Gordo,"43,017"
14,Muscatine,"43,011"
15,Marshall,"40,746"
16,Des Moines,"40,055"
17,Webster,"37,071"
18,Jasper,"36,827"
19,Wapello,"35,173"
20,Lee,"35,089"
21,Sioux,"34,937"
22,Marion,"33,294"
23,Boone,"26,643"
24,Benton,"25,658"
25,Plymouth,"24,800"
26,Bremer,"24,722"
27,Mahaska,"22,324"
28,Washington,"22,247"
29,Buchanan,"21,062"
30,Winneshiek,"20,709"
31,Carroll,"20,498"
32,Buena Vista,"20,493"
33,Jones,"20,466"
34,Fayette,"20,257"
35,Henry,"19,950"
36,Jackson,"19,444"
37,Poweshiek,"18,550"
38,Cedar,"18,340"
39,Clayton,"17,644"
40,Jefferson,"17,555"
41,Delaware,"17,403"
42,Hardin,"17,367"
43,Tama,"17,337"
44,Dickinson,"17,111"
45,Crawford,"17,094"
46,Clay,"16,507"
47,Iowa,"16,401"
48,Floyd,"15,960"
49,Madison,"15,753"
50,Page,"15,527"
51,Hamilton,"15,190"
52,Kossuth,"15,165"
53,Butler,"14,915"
54,Mills,"14,844"
55,Harrison,"14,265"
56,O'Brien,"13,984"
57,Allamakee,"13,886"
58,Cass,"13,427"
59,Wright,"12,773"
60,Appanoose,"12,529"
61,Union,"12,469"
62,Grundy,"12,435"
63,Chickasaw,"12,097"
64,Shelby,"11,927"
65,Lyon,"11,745"
66,Cherokee,"11,574"
67,Louisa,"11,185"
68,Hancock,"10,974"
69,Mitchell,"10,832"
70,Guthrie,"10,676"
71,Winnebago,"10,609"
72,Franklin,"10,295"
73,Montgomery,"10,234"
74,Keokuk,"10,163"
75,Sac,"10,021"
76,Calhoun,"9,818"
77,Emmet,"9,769"
78,Humboldt,"9,555"
79,Howard,"9,410"
80,Clarke,"9,259"
81,Palo Alto,"9,133"
82,Greene,"9,027"
83,Monona,"8,979"
84,Davis,"8,769"
85,Lucas,"8,682"
86,Decatur,"8,220"
87,Monroe,"7,973"
88,Worth,"7,569"
89,Van Buren,"7,344"
90,Adair,"7,228"
91,Ida,"7,028"
92,Pocahontas,"7,008"
93,Fremont,"6,906"
94,Wayne,"6,385"
95,Taylor,"6,205"
96,Osceola,"6,154"
97,Audubon,"5,773"
98,Ringgold,"5,068"
99,Adams,"3,796"
